SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC24A	Treatment	2	0	Victivallaceae	0.000101616	1
CC24B	Treatment	2	1	Victivallaceae	0.000126887	2
CC24D	Treatment	2	3	Victivallaceae	0.000400053	6
CC01A	Control	1	0	Lactobacillales	4.40E-05	5
CC01B	Control	1	1	Lactobacillales	0.00022633	0
CC01C	Control	1	2	Lactobacillales	0	0
CC01D	Control	1	3	Lactobacillales	0	1
CC02A	Control	1	0	Lactobacillales	0	0
CC02B	Control	1	1	Lactobacillales	0	0
CC02C	Control	1	2	Lactobacillales	0	0
CC02D	Control	1	3	Lactobacillales	0.000189215	0
CC03A	Control	1	0	Lactobacillales	0	1
CC03B	Control	1	1	Lactobacillales	9.05E-05	0
CC03C	Control	1	2	Lactobacillales	0	0
CC03D	Control	1	3	Lactobacillales	0.000129066	0
CC04A	Control	1	0	Lactobacillales	0	0
CC04B	Control	1	1	Lactobacillales	0	0
CC04C	Control	1	2	Lactobacillales	6.98E-05	0
CC04D	Control	1	3	Lactobacillales	0.000129374	0
CC05A	Control	1	0	Lactobacillales	0	32
CC05B	Control	1	1	Lactobacillales	0	3
CC05C	Control	1	2	Lactobacillales	0.000554539	0
CC05D	Control	1	3	Lactobacillales	3.27E-05	0
CC06C	Control	1	2	Lactobacillales	3.57E-05	0
CC06D	Control	1	3	Lactobacillales	0	0
CC07A	Control	1	0	Lactobacillales	0	0
CC07B	Control	1	1	Lactobacillales	9.10E-05	4
CC07C	Control	1	2	Lactobacillales	5.42E-05	0
CC07D	Control	1	3	Lactobacillales	0.000186116	1
CC08A	Control	1	0	Lactobacillales	0	0
CC08B	Control	1	1	Lactobacillales	0.00020829	0
CC08C	Control	1	2	Lactobacillales	0	0
CC08D	Control	1	3	Lactobacillales	9.30E-05	0
CC09A	Control	1	0	Lactobacillales	0	6
CC09B	Control	1	1	Lactobacillales	0.000150122	0
CC09C	Control	1	2	Lactobacillales	0	0
CC09D	Control	1	3	Lactobacillales	0	0
CC10A	Control	1	0	Lactobacillales	0.000138918	10
CC11A	Control	1	0	Lactobacillales	0	1
CC11B	Control	1	1	Lactobacillales	0	0
CC11C	Control	1	2	Lactobacillales	0.000272554	0
CC11D	Control	1	3	Lactobacillales	0.000175454	0
CC12A	Control	1	0	Lactobacillales	0	0
CC12B	Control	1	1	Lactobacillales	9.21E-05	0
CC12C	Control	1	2	Lactobacillales	0	0
CC12D	Control	1	3	Lactobacillales	0	0
CC13A	Treatment	2	0	Lactobacillales	0.000101215	1
CC13B	Treatment	2	1	Lactobacillales	0	2
CC13C	Treatment	2	2	Lactobacillales	0	0
CC13D	Treatment	2	3	Lactobacillales	7.06E-05	0
CC14A	Treatment	2	0	Lactobacillales	0	9
CC14B	Treatment	2	1	Lactobacillales	0	2
CC14C	Treatment	2	2	Lactobacillales	0	12
CC14D	Treatment	2	3	Lactobacillales	7.44E-05	0
CC15A	Treatment	2	0	Lactobacillales	0	0
CC15B	Treatment	2	1	Lactobacillales	0	1
CC15C	Treatment	2	2	Lactobacillales	0	0
CC15D	Treatment	2	3	Lactobacillales	0	1
CC16A	Treatment	2	0	Lactobacillales	0	9
CC16B	Treatment	2	1	Lactobacillales	4.03E-05	7
CC16C	Treatment	2	2	Lactobacillales	0	1
CC16D	Treatment	2	3	Lactobacillales	0	5
CC17A	Treatment	2	0	Lactobacillales	0	0
CC17B	Treatment	2	1	Lactobacillales	0	0
CC17C	Treatment	2	2	Lactobacillales	0	0
CC17D	Treatment	2	3	Lactobacillales	9.16E-05	0
CC18A	Treatment	2	0	Lactobacillales	8.18E-05	0
CC18C	Treatment	2	2	Lactobacillales	6.15E-05	1
CC18D	Treatment	2	3	Lactobacillales	0	5
CC19A	Treatment	2	0	Lactobacillales	0	0
CC19B	Treatment	2	1	Lactobacillales	0	0
CC19C	Treatment	2	2	Lactobacillales	0	0
CC19D	Treatment	2	3	Lactobacillales	0	0
CC20A	Treatment	2	0	Lactobacillales	0	4
CC20B	Treatment	2	1	Lactobacillales	0	1
CC20C	Treatment	2	2	Lactobacillales	3.58E-05	1
CC20D	Treatment	2	3	Lactobacillales	0	0
CC21A	Treatment	2	0	Lactobacillales	0	0
CC21B	Treatment	2	1	Lactobacillales	0	0
CC21C	Treatment	2	2	Lactobacillales	0	1
CC21D	Treatment	2	3	Lactobacillales	0	0
CC22A	Treatment	2	0	Lactobacillales	0.001001216	1
CC22B	Treatment	2	1	Lactobacillales	7.36E-05	0
CC22C	Treatment	2	2	Lactobacillales	0	0
CC22D	Treatment	2	3	Lactobacillales	0	0
CC23A	Treatment	2	0	Lactobacillales	0.000130208	1
CC23B	Treatment	2	1	Lactobacillales	0.000101056	0
CC23C	Treatment	2	2	Lactobacillales	0	0
CC23D	Treatment	2	3	Lactobacillales	0	1
CC24A	Treatment	2	0	Lactobacillales	0	2
CC24B	Treatment	2	1	Lactobacillales	0	3
CC24D	Treatment	2	3	Lactobacillales	0	3
CC01A	Control	1	0	Bacilli	0	25
CC01B	Control	1	1	Bacilli	7.54E-05	4
CC01C	Control	1	2	Bacilli	6.53E-05	6
CC01D	Control	1	3	Bacilli	0	1
CC02A	Control	1	0	Bacilli	0	47
CC02B	Control	1	1	Bacilli	0	5
CC02C	Control	1	2	Bacilli	0	23
CC02D	Control	1	3	Bacilli	0	2
CC03A	Control	1	0	Bacilli	0	14
CC03B	Control	1	1	Bacilli	0.000180946	5
CC03C	Control	1	2	Bacilli	0.000188857	3
CC03D	Control	1	3	Bacilli	6.45E-05	3
CC04A	Control	1	0	Bacilli	6.61E-05	12
CC04B	Control	1	1	Bacilli	0	1
CC04C	Control	1	2	Bacilli	0	3
CC04D	Control	1	3	Bacilli	0.000129374	0
CC05A	Control	1	0	Bacilli	3.53E-05	108
CC05B	Control	1	1	Bacilli	0	6
CC05C	Control	1	2	Bacilli	0.001441801	18
CC05D	Control	1	3	Bacilli	3.27E-05	13
CC06C	Control	1	2	Bacilli	0	13
CC06D	Control	1	3	Bacilli	0	11
CC07A	Control	1	0	Bacilli	0	0
CC07B	Control	1	1	Bacilli	4.55E-05	2
CC07C	Control	1	2	Bacilli	0	1
CC07D	Control	1	3	Bacilli	0	1
CC08A	Control	1	0	Bacilli	0	0
CC08B	Control	1	1	Bacilli	0.000364507	2
CC08C	Control	1	2	Bacilli	0	3
CC08D	Control	1	3	Bacilli	0.000186012	4
CC09A	Control	1	0	Bacilli	0	13
CC09B	Control	1	1	Bacilli	7.51E-05	4
CC09C	Control	1	2	Bacilli	0.000275012	5
CC09D	Control	1	3	Bacilli	0	69
CC10A	Control	1	0	Bacilli	0.000138918	6
CC11A	Control	1	0	Bacilli	0.000354962	12
CC11B	Control	1	1	Bacilli	0.000362538	8
CC11C	Control	1	2	Bacilli	9.09E-05	1
CC11D	Control	1	3	Bacilli	0.00013159	6
CC12A	Control	1	0	Bacilli	0	288
CC12B	Control	1	1	Bacilli	0.000184247	2
CC12C	Control	1	2	Bacilli	0.000132223	1
CC12D	Control	1	3	Bacilli	0	7
CC13A	Treatment	2	0	Bacilli	0.000506073	4
CC13B	Treatment	2	1	Bacilli	0	4
CC13C	Treatment	2	2	Bacilli	0.000120685	6
CC13D	Treatment	2	3	Bacilli	0.000141253	12
CC14A	Treatment	2	0	Bacilli	0	14
CC14B	Treatment	2	1	Bacilli	0	33
CC14C	Treatment	2	2	Bacilli	0	5
CC14D	Treatment	2	3	Bacilli	0	10
CC15A	Treatment	2	0	Bacilli	0	0
CC15B	Treatment	2	1	Bacilli	0	6
CC15C	Treatment	2	2	Bacilli	4.09E-05	3
CC15D	Treatment	2	3	Bacilli	0	7
CC16A	Treatment	2	0	Bacilli	0	6
CC16B	Treatment	2	1	Bacilli	0	26
CC16C	Treatment	2	2	Bacilli	0	4
CC16D	Treatment	2	3	Bacilli	0	22
CC17A	Treatment	2	0	Bacilli	0	39
CC17B	Treatment	2	1	Bacilli	0	6
CC17C	Treatment	2	2	Bacilli	0	2
CC17D	Treatment	2	3	Bacilli	0	4
CC18A	Treatment	2	0	Bacilli	8.18E-05	95
CC18C	Treatment	2	2	Bacilli	0	10
CC18D	Treatment	2	3	Bacilli	0	3
CC19A	Treatment	2	0	Bacilli	0	1
CC19B	Treatment	2	1	Bacilli	7.17E-05	25
CC19C	Treatment	2	2	Bacilli	0	1
CC19D	Treatment	2	3	Bacilli	0	2
CC20A	Treatment	2	0	Bacilli	0	42
CC20B	Treatment	2	1	Bacilli	0	23
CC20C	Treatment	2	2	Bacilli	0	39
CC20D	Treatment	2	3	Bacilli	0	24
CC21A	Treatment	2	0	Bacilli	0	5
CC21B	Treatment	2	1	Bacilli	0	11
CC21C	Treatment	2	2	Bacilli	0	6
CC21D	Treatment	2	3	Bacilli	0	1
CC22A	Treatment	2	0	Bacilli	0.001573339	24
CC22B	Treatment	2	1	Bacilli	0	11
CC22C	Treatment	2	2	Bacilli	0	15
CC22D	Treatment	2	3	Bacilli	0.000143771	13
CC23A	Treatment	2	0	Bacilli	0	4
CC23B	Treatment	2	1	Bacilli	0	12
CC23C	Treatment	2	2	Bacilli	0.000204583	0
CC23D	Treatment	2	3	Bacilli	9.36E-05	3
CC24A	Treatment	2	0	Bacilli	0.000101616	104
CC24B	Treatment	2	1	Bacilli	0	40
CC24D	Treatment	2	3	Bacilli	0	26
CC01A	Control	1	0	Eubacterium	0.000219983	333
CC01B	Control	1	1	Eubacterium	0	52
CC01C	Control	1	2	Eubacterium	0	164
CC01D	Control	1	3	Eubacterium	4.73E-05	53
CC02A	Control	1	0	Eubacterium	0	447
CC02B	Control	1	1	Eubacterium	0	96
CC02C	Control	1	2	Eubacterium	0	76
CC02D	Control	1	3	Eubacterium	0	52
CC03A	Control	1	0	Eubacterium	8.80E-05	146
CC03B	Control	1	1	Eubacterium	0	614
CC03C	Control	1	2	Eubacterium	0	310
CC03D	Control	1	3	Eubacterium	0	482
CC04A	Control	1	0	Eubacterium	0	100
CC04B	Control	1	1	Eubacterium	0	246
CC04C	Control	1	2	Eubacterium	0	162
CC04D	Control	1	3	Eubacterium	0	391
CC05A	Control	1	0	Eubacterium	0.00112831	45
CC05B	Control	1	1	Eubacterium	0.000516156	36
CC05C	Control	1	2	Eubacterium	0	379
CC05D	Control	1	3	Eubacterium	0	480
CC06C	Control	1	2	Eubacterium	0	147
CC06D	Control	1	3	Eubacterium	3.27E-05	27
CC07A	Control	1	0	Eubacterium	0	262
CC07B	Control	1	1	Eubacterium	0.000182008	475
CC07C	Control	1	2	Eubacterium	0.000162593	200
CC07D	Control	1	3	Eubacterium	9.31E-05	34
CC08A	Control	1	0	Eubacterium	0	10
CC08B	Control	1	1	Eubacterium	5.21E-05	1134
CC08C	Control	1	2	Eubacterium	0	80
CC08D	Control	1	3	Eubacterium	0	301
CC09A	Control	1	0	Eubacterium	0.000304507	261
CC09B	Control	1	1	Eubacterium	0	779
CC09C	Control	1	2	Eubacterium	0	1090
CC09D	Control	1	3	Eubacterium	0	64
CC10A	Control	1	0	Eubacterium	0.000764048	89
CC11A	Control	1	0	Eubacterium	7.10E-05	336
CC11B	Control	1	1	Eubacterium	0	516
CC11C	Control	1	2	Eubacterium	0	430
CC11D	Control	1	3	Eubacterium	0	539
CC12A	Control	1	0	Eubacterium	0	175
CC12B	Control	1	1	Eubacterium	0	167
CC12C	Control	1	2	Eubacterium	0	322
CC12D	Control	1	3	Eubacterium	0	241
CC13A	Treatment	2	0	Eubacterium	0.000101215	138
CC13B	Treatment	2	1	Eubacterium	0.000243605	143
CC13C	Treatment	2	2	Eubacterium	0	971
CC13D	Treatment	2	3	Eubacterium	0	747
CC14A	Treatment	2	0	Eubacterium	0.000535103	34
CC14B	Treatment	2	1	Eubacterium	0.00012566	10
CC14C	Treatment	2	2	Eubacterium	0.000781301	13
CC14D	Treatment	2	3	Eubacterium	0	537
CC15A	Treatment	2	0	Eubacterium	0	12
CC15B	Treatment	2	1	Eubacterium	8.01E-05	18
CC15C	Treatment	2	2	Eubacterium	0.000327265	273
CC15D	Treatment	2	3	Eubacterium	4.61E-05	76
CC16A	Treatment	2	0	Eubacterium	0.000446302	712
CC16B	Treatment	2	1	Eubacterium	0.000484105	146
CC16C	Treatment	2	2	Eubacterium	0.000368528	8
CC16D	Treatment	2	3	Eubacterium	0.000225499	136
CC17A	Treatment	2	0	Eubacterium	8.70E-05	101
CC17B	Treatment	2	1	Eubacterium	4.43E-05	59
CC17C	Treatment	2	2	Eubacterium	0	161
CC17D	Treatment	2	3	Eubacterium	0	38
CC18A	Treatment	2	0	Eubacterium	0	568
CC18C	Treatment	2	2	Eubacterium	0.00018449	11
CC18D	Treatment	2	3	Eubacterium	0.000359144	71
CC19A	Treatment	2	0	Eubacterium	0	41
